ID: 1, BinID: 25, Cliente: Cliente_630, FechaPerso: 1/30/2025 3:03:02 AM, FechaRespuesta: 10/22/2025 12:00:00 AM
ID: 2, BinID: 17, Cliente: Cliente_222, FechaPerso: 4/25/2025 3:03:02 AM, FechaRespuesta: 10/22/2025 12:00:00 AM
ID: 3, BinID: 25, Cliente: Cliente_631, FechaPerso: 5/5/2025 3:03:02 AM, FechaRespuesta: 10/22/2025 12:00:00 AM
ID: 4, BinID: 14, Cliente: Cliente_10, FechaPerso: 10/7/2024 3:03:02 AM, FechaRespuesta: 10/22/2025 12:00:00 AM
ID: 5, BinID: 13, Cliente: Cliente_730, FechaPerso: 7/3/2025 3:03:02 AM, FechaRespuesta: 10/22/2025 12:00:00 AM
ID: 6, BinID: 17, Cliente: Cliente_420, FechaPerso: 8/30/2024 3:03:02 AM, FechaRespuesta: 10/22/2025 12:00:00 AM
ID: 7, BinID: 40, Cliente: Cliente_486, FechaPerso: 5/4/2025 3:03:02 AM, FechaRespuesta: 10/22/2025 12:00:00 AM
ID: 8, BinID: 9, Cliente: Cliente_662, FechaPerso: 8/9/2024 3:03:02 AM, FechaRespuesta: 10/22/2025 12:00:00 AM
ID: 9, BinID: 30, Cliente: Cliente_799, FechaPerso: 9/9/2024 3:03:02 AM, FechaRespuesta: 10/22/2025 12:00:00 AM
ID: 10, BinID: 22, Cliente: Cliente_69, FechaPerso: 5/30/2025 3:03:02 AM, FechaRespuesta: 10/22/2025 12:00:00 AM
ID: 11, BinID: 22, Cliente: Cliente_263, FechaPerso: 1/14/2025 3:03:02 AM, FechaRespuesta: 10/22/2025 12:00:00 AM
ID: 12, BinID: 50, Cliente: Cliente_175, FechaPerso: 7/1/2025 3:03:02 AM, FechaRespuesta: 10/22/2025 12:00:00 AM
ID: 13, BinID: 95, Cliente: Cliente_788, FechaPerso: 6/6/2025 3:03:02 AM, FechaRespuesta: 10/22/2025 12:00:00 AM
ID: 14, BinID: 60, Cliente: Cliente_89, FechaPerso: 11/11/2024 3:03:02 AM, FechaRespuesta: 10/22/2025 12:00:00 AM
ID: 15, BinID: 75, Cliente: Cliente_510, FechaPerso: 5/5/2025 3:03:02 AM, FechaRespuesta: 10/22/2025 12:00:00 AM
ID: 16, BinID: 85, Cliente: Cliente_2, FechaPerso: 9/17/2024 3:03:02 AM, FechaRespuesta: 10/22/2025 12:00:00 AM
ID: 17, BinID: 43, Cliente: Cliente_157, FechaPerso: 12/14/2024 3:03:02 AM, FechaRespuesta: 10/22/2025 12:00:00 AM
ID: 18, BinID: 57, Cliente: Cliente_879, FechaPerso: 4/8/2025 3:03:02 AM, FechaRespuesta: 10/22/2025 12:00:00 AM
ID: 19, BinID: 69, Cliente: Cliente_520, FechaPerso: 6/17/2025 3:03:02 AM, FechaRespuesta: 10/22/2025 12:00:00 AM
ID: 20, BinID: 75, Cliente: Cliente_223, FechaPerso: 11/1/2024 3:03:02 AM, FechaRespuesta: 10/22/2025 12:00:00 AM
ID: 21, BinID: 53, Cliente: Cliente_373, FechaPerso: 7/15/2025 3:03:02 AM, FechaRespuesta: 10/22/2025 12:00:00 AM
ID: 22, BinID: 31, Cliente: Cliente_233, FechaPerso: 5/24/2025 3:03:02 AM, FechaRespuesta: 10/22/2025 12:00:00 AM
ID: 23, BinID: 21, Cliente: Cliente_129, FechaPerso: 11/16/2024 3:03:02 AM, FechaRespuesta: 10/22/2025 12:00:00 AM
ID: 24, BinID: 75, Cliente: Cliente_230, FechaPerso: 9/3/2024 3:03:02 AM, FechaRespuesta: 10/22/2025 12:00:00 AM
ID: 25, BinID: 45, Cliente: Cliente_614, FechaPerso: 1/16/2025 3:03:02 AM, FechaRespuesta: 10/22/2025 12:00:00 AM
ID: 26, BinID: 72, Cliente: Cliente_515, FechaPerso: 6/24/2025 3:03:02 AM, FechaRespuesta: 10/22/2025 12:00:00 AM
ID: 27, BinID: 32, Cliente: Cliente_922, FechaPerso: 3/11/2025 3:03:02 AM, FechaRespuesta: 10/22/2025 12:00:00 AM
ID: 28, BinID: 32, Cliente: Cliente_897, FechaPerso: 5/3/2025 3:03:02 AM, FechaRespuesta: 10/22/2025 12:00:00 AM
ID: 29, BinID: 63, Cliente: Cliente_774, FechaPerso: 3/23/2025 3:03:02 AM, FechaRespuesta: 10/22/2025 12:00:00 AM
ID: 30, BinID: 1, Cliente: Cliente_860, FechaPerso: 7/22/2024 3:03:02 AM, FechaRespuesta: 10/22/2025 12:00:00 AM
ID: 31, BinID: 98, Cliente: Cliente_852, FechaPerso: 11/4/2024 3:03:02 AM, FechaRespuesta: 10/22/2025 12:00:00 AM
ID: 32, BinID: 63, Cliente: Cliente_863, FechaPerso: 4/16/2025 3:03:02 AM, FechaRespuesta: 10/22/2025 12:00:00 AM
ID: 33, BinID: 85, Cliente: Cliente_22, FechaPerso: 8/29/2024 3:03:02 AM, FechaRespuesta: 10/22/2025 12:00:00 AM
ID: 34, BinID: 52, Cliente: Cliente_721, FechaPerso: 1/13/2025 3:03:02 AM, FechaRespuesta: 10/22/2025 12:00:00 AM
ID: 35, BinID: 23, Cliente: Cliente_677, FechaPerso: 6/7/2025 3:03:02 AM, FechaRespuesta: 10/22/2025 12:00:00 AM
ID: 36, BinID: 9, Cliente: Cliente_388, FechaPerso: 3/20/2025 3:03:02 AM, FechaRespuesta: 10/22/2025 12:00:00 AM
ID: 37, BinID: 70, Cliente: Cliente_235, FechaPerso: 6/4/2025 3:03:02 AM, FechaRespuesta: 10/22/2025 12:00:00 AM
ID: 38, BinID: 14, Cliente: Cliente_833, FechaPerso: 8/26/2024 3:03:02 AM, FechaRespuesta: 10/22/2025 12:00:00 AM
ID: 39, BinID: 98, Cliente: Cliente_967, FechaPerso: 7/14/2025 3:03:02 AM, FechaRespuesta: 10/22/2025 12:00:00 AM
ID: 40, BinID: 18, Cliente: Cliente_950, FechaPerso: 9/13/2024 3:03:02 AM, FechaRespuesta: 10/22/2025 12:00:00 AM
ID: 41, BinID: 12, Cliente: Cliente_909, FechaPerso: 11/15/2024 3:03:02 AM, FechaRespuesta: 10/22/2025 12:00:00 AM
ID: 42, BinID: 73, Cliente: Cliente_25, FechaPerso: 2/23/2025 3:03:02 AM, FechaRespuesta: 10/22/2025 12:00:00 AM
ID: 43, BinID: 83, Cliente: Cliente_395, FechaPerso: 10/5/2024 3:03:02 AM, FechaRespuesta: 10/22/2025 12:00:00 AM
ID: 44, BinID: 2, Cliente: Cliente_774, FechaPerso: 8/14/2024 3:03:02 AM, FechaRespuesta: 10/22/2025 12:00:00 AM
ID: 45, BinID: 75, Cliente: Cliente_168, FechaPerso: 10/26/2024 3:03:02 AM, FechaRespuesta: 10/22/2025 12:00:00 AM
ID: 46, BinID: 36, Cliente: Cliente_685, FechaPerso: 11/14/2024 3:03:02 AM, FechaRespuesta: 10/22/2025 12:00:00 AM
ID: 47, BinID: 25, Cliente: Cliente_45, FechaPerso: 5/5/2025 3:03:02 AM, FechaRespuesta: 10/22/2025 12:00:00 AM
ID: 48, BinID: 42, Cliente: Cliente_447, FechaPerso: 7/24/2024 3:03:02 AM, FechaRespuesta: 10/22/2025 12:00:00 AM
ID: 49, BinID: 93, Cliente: Cliente_720, FechaPerso: 9/27/2024 3:03:02 AM, FechaRespuesta: 10/22/2025 12:00:00 AM
ID: 50, BinID: 25, Cliente: Cliente_809, FechaPerso: 5/19/2025 3:03:02 AM, FechaRespuesta: 10/22/2025 12:00:00 AM
